"","m","impact.wave1","events.wave1","ee_concerns.wave1","country","impact.wave2","energy_price","percent_energy","gas_price","percent_gas","ee_concerns.wave2","events.wave2","n","ee_concerns.diff","impact.diff"
"261",229320605953210,3,11,3,"Germany",3,2,40,2,30,3,21,1,0,0
"262",229320605953211,4,11,1,"Germany",4,3,NA,3,NA,1,11,1,0,0
"263",229320605954251,1,134,6,"Germany",3,2,15,2,20,6,4,1,0,-2
"264",229320605955296,1,4,5,"Germany",1,3,NA,2,25,6,4822,1,-1,0
"265",229320605958180,3,48,5,"Germany",3,2,5,2,10,5,4822,1,0,0
"266",229320605958184,4,26,4,"Germany",4,2,22,3,NA,4,320,1,0,0
"267",229320605959210,1,34,6,"Germany",1,2,30,2,50,6,422,1,0,0
"268",229320605962358,1,348,6,"Germany",1,2,20,2,20,5,32049,1,1,0
"269",229320605966522,3,12345689,6,"Germany",2,2,30,2,30,4,32021468,1,2,1
"270",229320605968605,3,11,3,"Germany",4,3,NA,3,NA,3,3,1,0,-1
"271",229320605970439,3,3468,5,"Germany",4,2,10,2,15,5,11,1,0,-1
"272",229320605973564,3,348,6,"Germany",3,4,5,4,15,5,32021422,1,1,0
"273",229320605974599,2,348,5,"Germany",3,3,NA,2,5,4,34,1,1,-1
"274",229320605976689,2,348,6,"Germany",3,2,100,2,100,5,3202148,1,1,-1
"275",229320605989990,3,48,5,"Germany",3,2,50,4,50,5,48,1,0,0
"276",229320606000189,2,48,5,"Germany",3,2,50,2,15,4,214822,1,1,-1
"277",229320606005406,3,34,6,"Germany",2,3,NA,3,NA,6,320214,1,0,1
"278",229320606006452,1,1,6,"Germany",1,2,5,2,15,6,134,1,0,0
"279",229320606011397,3,348,4,"Germany",3,2,10,2,10,4,202148,1,0,0
"280",229320606018720,2,3459,5,"Germany",3,2,20,2,20,2,32048922,1,3,-1
"281",229320606027862,3,48,4,"Germany",4,2,30,2,30,5,204,1,-1,-1
"282",229320606061811,2,4,4,"Germany",3,2,15,2,25,2,4,1,2,-1
"283",229320606066792,4,134689,4,"Germany",3,3,NA,3,NA,2,20,1,2,1
"284",229320606074103,3,489,4,"Germany",3,4,6,3,NA,4,20422,1,0,0
"285",229320606075132,3,48,6,"Germany",3,2,20,3,NA,4,11,1,2,0
"286",229320606084260,2,1389,5,"Germany",3,2,30,2,40,5,1208,1,0,-1
"287",229321437507604,4,11,5,"Switzerland",2,3,NA,3,NA,5,11,1,0,2
"288",229321437509656,3,8,4,"Switzerland",3,2,10,2,10,3,892210,1,1,0
"289",229321437515815,2,489,6,"Switzerland",3,2,40,2,6,6,48922,1,0,-1
"290",229321437541463,2,1,2,"Switzerland",2,2,20,2,20,1,34,1,1,0
"291",229321437542488,2,11,5,"Switzerland",3,3,NA,2,10,5,810,1,0,-1
"292",229321437547620,3,11,1,"Switzerland",3,3,NA,3,NA,1,11,1,0,0
"293",229321437554799,3,11,3,"Switzerland",3,4,1.5,4,2,4,4,1,-1,0
"294",229321437575305,3,8,3,"Switzerland",3,3,NA,3,NA,6,8,1,-3,0
"295",229321437583507,3,34,4,"Switzerland",3,2,30,2,50,4,49,1,0,0
"296",229321437584534,4,1,6,"Switzerland",6,3,NA,2,7,1,8,1,5,-2
"297",229321437668352,4,3,4,"Switzerland",4,2,70,3,NA,6,11,1,-2,0
"298",229321437670402,3,348,4,"Switzerland",4,2,10,4,5,3,4822,1,1,-1
"299",229321437677579,1,4,6,"Switzerland",1,2,100,2,100,6,48,1,0,0
"300",229321437681681,4,346,5,"Switzerland",5,2,25,2,15,3,348,1,2,-1
"301",229321437701161,6,11,6,"Switzerland",1,2,12,2,25,6,11,1,0,5
"302",229321437719617,3,3468,5,"Switzerland",3,2,2,2,5,4,34,1,1,0
"303",229321437737054,3,4,4,"Switzerland",3,2,8,3,NA,4,8,1,0,0
"304",229321437739104,3,48,4,"Switzerland",4,2,30,4,10,4,48,1,0,-1
"305",229321437762688,4,11,4,"Switzerland",3,2,20,2,13,4,8,1,0,1
"306",229321437763714,4,4,5,"Switzerland",3,2,80,2,50,5,4922,1,0,1
"307",229321437858830,4,4,3,"Switzerland",3,3,NA,2,10,3,8,1,0,1
"308",229321437921368,5,23,3,"Switzerland",4,2,5,2,10,3,38,1,0,1
"309",229321437924448,3,348,2,"Switzerland",3,3,NA,2,20,2,822,1,0,0
"310",229321437941882,3,348,5,"Switzerland",3,2,3,2,3,5,34,1,0,0
"311",229321437994179,2,48,6,"Switzerland",2,2,10,2,5,6,348,1,0,0
"312",229321438035199,5,48,5,"Switzerland",3,2,15,2,15,5,8,1,0,2
"313",229321438075977,3,1346,5,"Switzerland",4,2,25,2,20,4,36,1,1,-1
"314",229321438098546,4,348,2,"Switzerland",3,2,20,2,15,3,48,1,-1,1
"315",229321438104706,4,489,6,"Switzerland",4,2,5,2,8,5,22,1,1,0
"316",229321438125234,3,4,4,"Switzerland",3,2,5,2,10,4,348,1,0,0
"317",229321438159066,4,148,2,"Switzerland",3,2,4,3,NA,4,4822,1,-2,1
"318",229321438161117,3,48,4,"Switzerland",3,2,3,2,4,4,34822,1,0,0
"319",229321438164192,3,8,4,"Switzerland",3,3,NA,3,NA,2,18,1,2,0
"320",229321438210114,3,46,5,"Switzerland",3,2,20,2,10,5,34622,1,0,0
"321",229321438243967,1,13410,5,"Switzerland",1,2,10,3,NA,6,134822,1,-1,0
"322",229321438287057,2,348,6,"Switzerland",3,2,22,2,30,6,48,1,0,-1
"323",229321438289110,3,9,5,"Switzerland",4,2,5,2,10,6,22,1,-1,-1
"324",229321438291162,4,4,6,"Switzerland",3,2,30,2,40,5,4568,1,1,1
"325",229321438291163,1,134,6,"Switzerland",3,2,5,2,10,6,8,1,0,-2
"326",229321438308355,2,11,5,"Switzerland",3,2,10,2,10,3,11,1,2,-1
"327",229321438312457,3,3468,4,"Switzerland",4,2,15,2,30,4,35,1,0,-1
"328",229321438315541,2,8,4,"Switzerland",3,2,8,2,7,5,39,1,-1,-1
"329",229321438330936,3,389,4,"Switzerland",3,3,NA,2,5,3,38922,1,1,0
"330",229321438343251,3,48,4,"Switzerland",3,2,5,2,15,3,48,1,1,0
"331",229321438363760,3,3456810,4,"Switzerland",3,2,5,3,NA,5,34822,1,-1,0
"332",229321438376071,3,345689,5,"Switzerland",4,3,NA,3,NA,6,2822,1,-1,-1
"333",229321438387356,3,345689,2,"Switzerland",3,2,6,2,5,4,34,1,-2,0
"334",229409893551190,2,48,6,"Germany",2,2,30,2,60,6,20214,1,0,0
"335",229409893551191,3,4,5,"Germany",3,3,NA,3,NA,5,2021,1,0,0
